,sector,instrument,policy_country_iso_code,year
2,BuildingsSector,FiscalFinancialIncentives,13,2011
3,BuildingsSector,Market-basedInstruments,3,2011
4,BuildingsSector,VoluntaryApproaches,10,2011
5,ElectricitySector,CodesStandards,14,2011
6,ElectricitySector,DirectInvestment,14,2011
7,ElectricitySector,FiscalFinancialIncentives,15,2011
8,ElectricitySector,Market-basedInstruments,7,2011
9,ElectricitySector,VoluntaryApproaches,6,2011
10,GeneralSector,CodesStandards,9,2011
11,GeneralSector,DirectInvestment,10,2011
12,GeneralSector,FiscalFinancialIncentives,7,2011
13,GeneralSector,Market-basedInstruments,5,2011
14,GeneralSector,VoluntaryApproaches,4,2011
15,IndustrySector,CodesStandards,14,2011
16,IndustrySector,DirectInvestment,8,2011
17,IndustrySector,FiscalFinancialIncentives,13,2011
18,IndustrySector,Market-basedInstruments,6,2011
19,IndustrySector,VoluntaryApproaches,10,2011
20,LandSector,CodesStandards,10,2011
21,LandSector,DirectInvestment,5,2011
22,LandSector,FiscalFinancialIncentives,9,2011
23,LandSector,Market-basedInstruments,2,2011
24,LandSector,VoluntaryApproaches,5,2011
25,TransportSector,CodesStandards,14,2011
26,TransportSector,DirectInvestment,13,2011
27,TransportSector,FiscalFinancialIncentives,15,2011
28,TransportSector,Market-basedInstruments,3,2011
29,TransportSector,VoluntaryApproaches,4,2011
0,BuildingsSector,CodesStandards,16,2012
1,BuildingsSector,DirectInvestment,11,2012
2,BuildingsSector,FiscalFinancialIncentives,13,2012
3,BuildingsSector,Market-basedInstruments,4,2012
4,BuildingsSector,VoluntaryApproaches,10,2012
5,ElectricitySector,CodesStandards,14,2012
6,ElectricitySector,DirectInvestment,15,2012
7,ElectricitySector,FiscalFinancialIncentives,16,2012
8,ElectricitySector,Market-basedInstruments,7,2012
9,ElectricitySector,VoluntaryApproaches,6,2012
10,GeneralSector,CodesStandards,10,2012
11,GeneralSector,DirectInvestment,10,2012
12,GeneralSector,FiscalFinancialIncentives,8,2012
13,GeneralSector,Market-basedInstruments,6,2012
14,GeneralSector,VoluntaryApproaches,4,2012
15,IndustrySector,CodesStandards,14,2012
16,IndustrySector,DirectInvestment,10,2012
17,IndustrySector,FiscalFinancialIncentives,14,2012
18,IndustrySector,Market-basedInstruments,6,2012
19,IndustrySector,VoluntaryApproaches,10,2012
20,LandSector,CodesStandards,10,2012
21,LandSector,DirectInvestment,5,2012
22,LandSector,FiscalFinancialIncentives,10,2012
23,LandSector,Market-basedInstruments,2,2012
24,LandSector,VoluntaryApproaches,5,2012
25,TransportSector,CodesStandards,14,2012
26,TransportSector,DirectInvestment,15,2012
27,TransportSector,FiscalFinancialIncentives,15,2012
28,TransportSector,Market-basedInstruments,3,2012
29,TransportSector,VoluntaryApproaches,5,2012
0,BuildingsSector,CodesStandards,16,2013
1,BuildingsSector,DirectInvestment,11,2013
2,BuildingsSector,FiscalFinancialIncentives,13,2013
3,BuildingsSector,Market-basedInstruments,4,2013
4,BuildingsSector,VoluntaryApproaches,10,2013
5,ElectricitySector,CodesStandards,14,2013
6,ElectricitySector,DirectInvestment,15,2013
7,ElectricitySector,FiscalFinancialIncentives,16,2013
8,ElectricitySector,Market-basedInstruments,7,2013
9,ElectricitySector,VoluntaryApproaches,6,2013
10,GeneralSector,CodesStandards,10,2013
11,GeneralSector,DirectInvestment,11,2013
12,GeneralSector,FiscalFinancialIncentives,9,2013
13,GeneralSector,Market-basedInstruments,7,2013
14,GeneralSector,VoluntaryApproaches,4,2013
15,IndustrySector,CodesStandards,14,2013
16,IndustrySector,DirectInvestment,10,2013
17,IndustrySector,FiscalFinancialIncentives,14,2013
18,IndustrySector,Market-basedInstruments,7,2013
19,IndustrySector,VoluntaryApproaches,10,2013
20,LandSector,CodesStandards,10,2013
21,LandSector,DirectInvestment,5,2013
22,LandSector,FiscalFinancialIncentives,11,2013
23,LandSector,Market-basedInstruments,2,2013
24,LandSector,VoluntaryApproaches,5,2013
25,TransportSector,CodesStandards,15,2013
26,TransportSector,DirectInvestment,15,2013
27,TransportSector,FiscalFinancialIncentives,15,2013
28,TransportSector,Market-basedInstruments,4,2013
29,TransportSector,VoluntaryApproaches,5,2013
0,BuildingsSector,CodesStandards,16,2014
1,BuildingsSector,DirectInvestment,11,2014
2,BuildingsSector,FiscalFinancialIncentives,13,2014
3,BuildingsSector,Market-basedInstruments,5,2014
4,BuildingsSector,VoluntaryApproaches,10,2014
5,ElectricitySector,CodesStandards,14,2014
6,ElectricitySector,DirectInvestment,15,2014
7,ElectricitySector,FiscalFinancialIncentives,16,2014
8,ElectricitySector,Market-basedInstruments,7,2014
9,ElectricitySector,VoluntaryApproaches,6,2014
10,GeneralSector,CodesStandards,10,2014
11,GeneralSector,DirectInvestment,11,2014
12,GeneralSector,FiscalFinancialIncentives,9,2014
13,GeneralSector,Market-basedInstruments,7,2014
14,GeneralSector,VoluntaryApproaches,4,2014
15,IndustrySector,CodesStandards,14,2014
16,IndustrySector,DirectInvestment,11,2014
17,IndustrySector,FiscalFinancialIncentives,14,2014
18,IndustrySector,Market-basedInstruments,7,2014
19,IndustrySector,VoluntaryApproaches,10,2014
20,LandSector,CodesStandards,10,2014
21,LandSector,DirectInvestment,6,2014
22,LandSector,FiscalFinancialIncentives,11,2014
23,LandSector,Market-basedInstruments,3,2014
24,LandSector,VoluntaryApproaches,5,2014
25,TransportSector,CodesStandards,15,2014
26,TransportSector,DirectInvestment,15,2014
27,TransportSector,FiscalFinancialIncentives,15,2014
28,TransportSector,Market-basedInstruments,5,2014
29,TransportSector,VoluntaryApproaches,5,2014
0,BuildingsSector,CodesStandards,16,2015
1,BuildingsSector,DirectInvestment,11,2015
2,BuildingsSector,FiscalFinancialIncentives,13,2015
3,BuildingsSector,Market-basedInstruments,6,2015
4,BuildingsSector,VoluntaryApproaches,10,2015
5,ElectricitySector,CodesStandards,14,2015
6,ElectricitySector,DirectInvestment,15,2015
7,ElectricitySector,FiscalFinancialIncentives,16,2015
8,ElectricitySector,Market-basedInstruments,7,2015
9,ElectricitySector,VoluntaryApproaches,6,2015
10,GeneralSector,CodesStandards,10,2015
11,GeneralSector,DirectInvestment,11,2015
12,GeneralSector,FiscalFinancialIncentives,9,2015
13,GeneralSector,Market-basedInstruments,8,2015
14,GeneralSector,VoluntaryApproaches,4,2015
15,IndustrySector,CodesStandards,14,2015
16,IndustrySector,DirectInvestment,11,2015
17,IndustrySector,FiscalFinancialIncentives,14,2015
18,IndustrySector,Market-basedInstruments,7,2015
19,IndustrySector,VoluntaryApproaches,10,2015
20,LandSector,CodesStandards,10,2015
21,LandSector,DirectInvestment,6,2015
22,LandSector,FiscalFinancialIncentives,12,2015
23,LandSector,Market-basedInstruments,4,2015
24,LandSector,VoluntaryApproaches,5,2015
25,TransportSector,CodesStandards,15,2015
26,TransportSector,DirectInvestment,16,2015
27,TransportSector,FiscalFinancialIncentives,15,2015
28,TransportSector,Market-basedInstruments,6,2015
29,TransportSector,VoluntaryApproaches,5,2015
0,BuildingsSector,CodesStandards,16,2016
1,BuildingsSector,DirectInvestment,11,2016
2,BuildingsSector,FiscalFinancialIncentives,13,2016
3,BuildingsSector,Market-basedInstruments,6,2016
4,BuildingsSector,VoluntaryApproaches,10,2016
5,ElectricitySector,CodesStandards,14,2016
6,ElectricitySector,DirectInvestment,15,2016
7,ElectricitySector,FiscalFinancialIncentives,16,2016
8,ElectricitySector,Market-basedInstruments,9,2016
9,ElectricitySector,VoluntaryApproaches,6,2016
