policy_country_iso_code,year,N,F,Sp,B,C,N_policies_matrix,N_options,FiscalFinancialIncentives,Market-basedInstruments,CodesStandards,OtherRegulatoryInstruments,RDD,InformationEducation,VoluntaryApproaches,BarrierRemoval,ClimateStrategy,Target,DirectInvestment,SUM_instruments,Economic instruments,Regulatory instruments,Other instruments,SUM_instruments_IPCC
IND,1991,2,1.0,2.0,1.0,0.04,2,2,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.5,0.5,0.0,2
IRL,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
IRN,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
IRQ,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
ISL,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
ISR,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
ITA,1991,1,1.0,2.0,,0.02,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,,,,0
JAM,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
JOR,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
JPN,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
KAZ,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
KEN,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
KGZ,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
KHM,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
KIR,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
KNA,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
KOR,1991,3,2.3333333333333335,1.3333333333333333,1.0,0.06,2,3,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,4,0.5,0.5,0.0,2
KWT,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
LAO,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
